Data,valor,año
2020-01-01,96.0,2020
2020-02-01,95.0,2020
2020-03-01,91.0,2020
2020-04-01,95.0,2020
2020-05-01,86.0,2020
2020-06-01,91.0,2020
2020-07-01,87.0,2020
2020-08-01,93.0,2020
2020-09-01,90.0,2020
2020-10-01,97.0,2020
2020-11-01,96.0,2020
2020-12-01,98.0,2020
2021-01-01,97.0,2021
2021-02-01,95.0,2021
2021-03-01,87.0,2021
2021-04-01,88.0,2021
2021-05-01,90.0,2021
2021-06-01,92.0,2021
2021-07-01,94.0,2021
2021-08-01,92.0,2021
2021-09-01,94.0,2021
2021-10-01,91.0,2021
2021-11-01,83.0,2021
2021-12-01,84.0,2021
2022-01-01,79.0,2022
2022-02-01,80.0,2022
2022-03-01,79.0,2022
2022-04-01,79.0,2022
2022-05-01,76.0,2022
2022-06-01,83.0,2022
2022-07-01,75.0,2022
2022-08-01,78.0,2022
2022-09-01,83.0,2022
2022-10-01,90.0,2022
2022-11-01,88.0,2022
2022-12-01,90.0,2022
2023-01-01,86.0,2023
2023-02-01,73.0,2023
2023-03-01,82.0,2023
2023-04-01,77.0,2023
2023-05-01,78.0,2023
2023-06-01,82.0,2023
2023-07-01,83.0,2023
2023-08-01,82.0,2023
2023-09-01,87.0,2023
2023-10-01,85.0,2023
2023-11-01,91.0,2023
2023-12-01,92.0,2023
2024-01-01,89.0,2024
2024-02-01,89.0,2024
2024-03-01,87.0,2024
2024-04-01,77.0,2024
2024-05-01,83.0,2024
2024-06-01,85.0,2024
2024-07-01,84.0,2024
2024-08-01,85.0,2024
2024-09-01,85.0,2024
2024-10-01,93.0,2024
2024-11-01,88.0,2024
2024-12-01,89.0,2024
